id	alt	cliffs.delta	centrimo	zeta	credible	cliffs.delta.rank	centrimo.rank	zeta.rank	credible.rank
MA0511.2	RUNX2	0.0880956582532725	6.20915374261127e-19	0.00430117202227707	0.0377566058528132	86	48	96	74
MA0493.1	Klf1	0.0815998716749259	3.62213164142159e-18	0.00570083288165167	0.0370869198058768	91	50	92	75
MA0464.2	BHLHE40	0.101928211139924	1.20956451431971e-12	0.019653974508659	0.0370644012697461	74	84	73	76
MA0476.1	FOS	0.118445666089314	6.27055484848083e-15	0.0131069572166631	0.0368420529647085	57	70	80	77
MA0828.1	SREBF2(var.2)	0.125248177893914	2.69809670817233e-10	0.0320689879801149	0.0368196960038941	48	104	54	78
MA0649.1	HEY2	0.0871389912508424	1.0288306693209e-15	0.00917076377088824	0.0365479810458183	88	66	85	79
MA0599.1	KLF5	0.0761658421929296	5.05292522017722e-18	0.00413681046368594	0.0363113419540915	99	52	98	80
MA0595.1	SREBF1	0.10442854545388	1.9215650861543e-12	0.0183947785576497	0.0361825293617805	69	88	75	81
MA0632.1	Tcfl5	0.0881078290776809	1.37404776924613e-16	0.00621004156130175	0.0359255630123435	85	60	90	82
MA0835.1	BATF3	0.194301848049281	2.55114447379423e-05	0.11484276092103	0.0347279742276183	10	157	7	83
MA0136.2	ELF5	0.0694720760056937	4.85428944446224e-20	0	0.0346300669495561	115	43	105	84
MA0663.1	MLX	0.119401016864716	2.30082739871735e-09	0.0321725519029843	0.0337032009431462	56	114	53	85
MA0018.2	CREB1	0.0808080987406331	3.26893255851036e-18	0	0.0332235246552952	93	49	107	86
MA0871.1	TFEC	0.0815243049591441	3.22685410673269e-19	0	0.0331925024506544	92	47	106	87
MA0747.1	SP8	0.067931723014545	2.99525624045922e-17	0	0.0321340219714155	117	56	108	88
MA0521.1	Tcf12	0.079992438086836	4.14898061177677e-13	0.00678408963448583	0.0313759530874241	94	81	88	89
MA0684.1	RUNX3	0.0710452603777739	3.89404777030766e-17	0	0.0313521394023428	110	57	109	90
MA0797.1	TGIF2	0.101994695877008	5.63378302709907e-09	0.0255658245480487	0.030707944681306	72	120	64	91
MA0488.1	JUN	0.103401056638956	3.55257169085926e-11	0.013122623147679	0.0305941718219823	70	98	79	92
MA0006.1	Ahr::Arnt	0.0738935112891903	1.38607889391305e-16	0	0.0305568062862275	105	61	110	93
MA0500.1	Myog	0.0779050096320272	2.35589066790981e-12	0.00731820032750023	0.0303414557807678	96	90	87	94
MA0692.1	TFEB	0.074486069447092	1.28888986235307e-14	0	0.030209486771879	104	72	112	95
MA0829.1	Srebf1(var.2)	0.104461589397329	9.87375319532794e-10	0.0194763109745247	0.0299805708403843	68	109	74	96
MA0831.1	TFE3	0.0667968243009112	1.01828910235275e-15	0	0.0286440807410834	118	65	111	97
MA0131.2	HINFP	0.0699350626053887	5.9743857040727e-12	0.00384896193574891	0.028446735065029	113	93	100	98
MA0489.1	JUN(var.2)	0.102897292214397	3.52559931744581e-13	0.000263825420444452	0.0283182706426178	71	79	104	99
MA0603.1	Arntl	0.073401012301216	4.30214220598293e-13	0	0.026808961005268	106	82	115	100
MA0150.2	Nfe2l2	0.0767917494163966	4.51900524227026e-12	0.000386025130298479	0.0266824117766013	98	92	103	101
MA0526.1	USF2	0.0777601619160061	2.87313600196611e-10	0.00559971230107008	0.0256866574822584	97	105	93	102
MA0734.1	GLI2	0.0748980340126026	9.37494890397826e-12	0	0.0249745078506821	102	95	119	103
MA0839.1	CREB3L1	0.107149989502629	9.20459876592619e-08	0.0237379062712067	0.0249062444678634	67	136	68	104
MA0691.1	TFAP4	0.0827259695011343	4.32929564824886e-10	0.00547277453565428	0.0247522549267115	90	106	94	105
MA0751.1	ZIC4	0.0694991544232856	3.06110184997318e-12	0	0.0241828626098961	114	91	118	106
MA0501.1	MAF::NFE2	0.0881899175330728	3.57062061983612e-09	0.00604705432728544	0.0227150469587323	84	119	91	107
MA0801.1	MGA	0.0512478449144542	2.53184302473718e-13	0	0.022141349646332	131	78	114	108
MA0605.1	Atf3	0.0694673111717949	1.82840903628612e-11	0	0.0220605173355459	116	96	120	109
MA0620.1	Mitf	0.0593449956357288	1.96869157632817e-13	0	0.021275250097805	124	76	113	110
MA0014.2	PAX5	0.0618962592058358	2.44204085162798e-11	0	0.021088087254843	123	97	121	111
MA0093.2	USF1	0.0733786848072562	9.49627218647614e-10	0	0.0197872666418047	107	107	124	112
MA0499.1	Myod1	0.0635682254534713	2.59991382627473e-10	0	0.0196696993827196	121	102	123	113
MA0833.1	ATF4	0.0798680527788884	1.34869256413534e-07	0.00902090116438932	0.0182434550605151	95	140	86	114
MA0002.2	RUNX1	0.0482274815059735	2.33459369033656e-12	0	0.0181184134198267	134	89	117	115
MA0697.1	ZIC3	0.0733461719224641	6.42919819959332e-08	0.00284394377410793	0.0175365061098747	108	134	101	116
MA0664.1	MLXIPL	0.0727549675674751	6.19265869634295e-09	0	0.0171586871089314	109	121	132	117
MA0749.1	ZBED1	0.168340163934426	5.84459800611158e-05	0.0504122017869974	0.0162160991313635	17	165	33	118
MA0067.1	Pax2	0.0449302911108166	1.8500283762961e-12	0	0.0161670840147006	141	87	116	119
MA0527.1	ZBTB33	0.0757551737576706	2.74217524212876e-07	0.00413968890677005	0.0155002296892101	100	143	97	120
MA0058.3	MAX	0.0658759634199912	8.15798814020759e-09	0	0.015407978839605	119	123	134	121
MA0522.2	TCF3	0.0558776223650036	2.3927250555102e-09	0	0.014295282370941	129	115	129	122
MA0805.1	TBX1	0.0494890140191957	3.09856516162017e-09	0	0.0141968028471914	132	117	130	123
MA0671.1	NFIX	0.0424697921322448	1.36951015368861e-10	0	0.0141643327389281	145	101	122	124
MA0059.1	MAX::MYC	0.064944309125736	1.19673494307202e-07	0	0.0140771977392082	120	139	147	125
MA0830.1	TCF4	0.0571970547253309	2.2701571214543e-09	0	0.0137901801855726	126	113	128	126
MA0816.1	Ascl2	0.0476283954555493	1.48558332000707e-09	0	0.0137862208004162	136	111	126	127
MA0462.1	BATF::JUN	0.0701614109248976	1.1864388273294e-08	0	0.0123398110601585	111	129	139	128
MA0600.2	RFX2	0.12534512895516	4.26058056221733e-05	0.0486221628071148	0.0121796078856303	47	162	34	129
MA0748.1	YY2	0.0483187560738581	1.13152193903063e-08	0	0.0121052350070902	133	127	137	130
MA0146.2	Zfx	0.046104286704064	2.39226651114068e-08	0	0.0117389032842938	138	131	141	131
MA0513.1	SMAD2::SMAD3::SMAD4	0.0520898423141954	1.44601996156977e-09	0	0.011569263032212	130	110	125	132
MA0806.1	TBX4	0.0414013209014872	2.15948675972931e-09	0	0.0114308757726406	149	112	127	133
MA0824.1	ID4	0.0451480887958169	1.1483522686479e-08	0	0.0112659403026114	139	128	138	134
MA0750.1	ZBTB7A	0.0589894282483738	7.3923745259218e-08	0	0.0106266936642547	125	135	144	135
MA0130.1	ZNF354C	0.0415456324993311	3.44094834304499e-09	0	0.0105318013872656	147	118	131	136
MA0739.1	Hic1	0.0368785300082338	6.31791821093208e-09	0	0.0104651314952722	153	122	133	137
MA0695.1	ZBTB7C	0.0414466375561692	8.63958757456829e-09	0	0.0104338294755025	148	125	135	138
MA0820.1	FIGLA	0.0450436849798314	1.20153381238748e-08	0	0.00989710638661795	140	130	140	139
MA0258.2	ESR2	0.0448789087240823	3.82651721469698e-08	0	0.00962304992788393	142	132	142	140
MA0510.2	RFX5	0.110248635536689	2.96800691690681e-05	0.0310740944590964	0.00937453270904454	63	159	56	141
MA0470.1	E2F4	0.0560232833789065	9.6778505902629e-07	0	0.00912716643609213	128	147	153	142
MA0825.1	MNT	0.0570827379010026	1.10174091134547e-07	0	0.00912196537181281	127	137	145	143
MA0807.1	TBX5	0.0357023732064595	9.24896734153594e-09	0	0.00905809547969028	154	126	136	144
MA0733.1	EGR4	0.0477653383747378	1.57781879032005e-07	0	0.0082977462417817	135	142	149	145
MA0732.1	EGR3	0.0700150009225166	5.74724309898237e-06	0.00140744561995684	0.00815868501413697	112	151	102	146
MA0803.1	TBX15	0.0372856645652066	1.3711439304774e-07	0	0.00808579015331112	151	141	148	147
MA0696.1	ZIC1	0.0622520371282299	1.09239543529289e-05	0.00472663067490195	0.00698073490331858	122	155	95	148
MA0099.2	FOS::JUN	0.0420713964705064	6.31110492235717e-08	0	0.00690843730881874	146	133	143	149
MA0884.1	DUXA	0.00368388712407541	1.13249153415068e-07	0	0.00616351177847972	166	138	146	150
MA0705.1	Lhx8	0.0180951697354379	3.14164866707622e-07	0	0.00461065106098385	165	144	150	151
MA0160.1	NR4A2	0.0333227846485645	7.03062337510184e-07	0	0.00417204079482281	158	146	152	152
MA0003.3	TFAP2A	0.0405029489492472	1.90726479691035e-06	0	0.0036241044037697	150	148	154	153
MA0483.1	Gfi1b	0.03455454470945	2.09782668120922e-06	0	0.00356890403821783	155	149	155	154
MA0161.1	NFIC	0.0371359114827954	6.074488774034e-07	0	0.00333096322151796	152	145	151	155
MA0509.1	Rfx1	0.0437314008719138	9.41644041655966e-06	0	0.00217690949602689	143	153	158	156
MA0862.1	GMEB2	0.0475448853609982	7.7275007786013e-06	0	0.00209404568346584	137	152	157	157
MA0111.1	Spz1	0.0326304019073234	3.43588428613647e-06	0	0.00166464659309382	160	150	156	158
MA0471.1	E2F6	0.0341371611758308	1.09005833137734e-05	0	0.00118510036675129	157	154	159	159
MA0607.1	Bhlha15	0.0425753527106357	2.76012272751925e-05	0	0.000186829368862246	144	158	161	160
MA0753.1	ZNF740	0.0322110020753376	1.72106760023138e-05	0	-0.000184726759733467	161	156	160	161
MA0698.1	ZBTB18	0.0342137070952869	4.9128469972298e-05	0	-0.00139690882905324	156	164	165	162
MA0089.1	MAFG::NFE2L1	0.0262355545736438	3.81692661866863e-05	0	-0.0016755241990796	162	160	162	163
MA0842.1	NRL	0.0255046583850932	4.47352600545967e-05	0	-0.00201335721306278	164	163	164	164
MA0738.1	HIC2	0.0261322879009245	4.21540765171186e-05	0	-0.00212373462420773	163	161	163	165
MA0814.1	TFAP2C(var.2)	0.033276382146392	7.30009009201221e-05	0	-0.00301802411426444	159	166	166	166
